지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm)
108,서울,2017-01-26,-1.3,-7.9,624,3.4,1419,.3
108,서울,2017-01-27,-2.6,-5.7,2348,3.1,1,3
108,서울,2017-01-28,-1.6,-8.2,649,4.3,1354,
108,서울,2017-01-29,.8,-.9,2346,2.5,1029,4.5
108,서울,2017-01-30,-4.8,-7.9,2354,-.9,1,.1
108,서울,2017-01-31,-5.4,-9.9,422,.2,1510,
108,서울,2017-02-01,-4,-7.5,2357,.7,1422,
108,서울,2017-02-02,-2.7,-9.2,659,3.3,1511,
108,서울,2017-02-03,1.5,-2.3,721,6.7,1445,
108,서울,2017-02-04,.9,-2.9,646,3.2,1422,
108,서울,2017-02-05,1.2,-1.5,2352,2.3,1,.5
108,서울,2017-02-06,-1.7,-4.4,744,2.6,1644,
108,서울,2017-02-07,-2,-5.6,631,3,1512,
108,서울,2017-02-08,-2.2,-4.9,622,.6,1351,
108,서울,2017-02-09,-5.3,-7.1,2353,-2.1,1332,
108,서울,2017-02-10,-6.6,-9.3,709,-2.5,1520,
108,서울,2017-02-11,-4.8,-9.2,451,.8,1514,
108,서울,2017-02-12,-2.2,-7.4,706,4.2,1437,
108,서울,2017-02-13,.1,-5.4,709,6.1,1440,
108,서울,2017-02-14,.3,-4,759,6.5,1506,
108,서울,2017-02-15,1.8,-3.9,733,8,1524,
108,서울,2017-02-16,5.5,-1.9,727,10.3,2001,0
108,서울,2017-02-17,.8,-5.2,2356,9,1,4
108,서울,2017-02-18,-2.6,-7,624,2.9,1524,
108,서울,2017-02-19,2.3,-3.4,647,5.7,1715,1
108,서울,2017-02-20,-1.5,-5.2,2353,5.4,2,.5
108,서울,2017-02-21,-.6,-7.6,712,6.9,1539,
108,서울,2017-02-22,1.7,-.9,2353,2.9,913,5.1
108,서울,2017-02-23,-1.5,-4.2,2348,2.1,1448,
108,서울,2017-02-24,-.8,-5.8,558,4.4,1412,
108,서울,2017-02-25,2.6,-2.8,707,8.4,1522,
108,서울,2017-02-26,3.6,-1.5,712,10.1,1443,
108,서울,2017-02-27,3.7,-1.8,730,10.7,1416,
108,서울,2017-02-28,5.6,-1.3,717,12.3,1504,
108,서울,2017-03-01,5,2,2321,11.4,1300,5
108,서울,2017-03-02,1.8,-1.1,2358,6.6,1646,.5
108,서울,2017-03-03,3.3,-3.1,715,10.4,1445,
108,서울,2017-03-04,5.7,.1,651,12.7,1452,
108,서울,2017-03-05,5.2,1.2,715,10.4,1433,.5
108,서울,2017-03-06,.1,-2.8,649,4,1,
108,서울,2017-03-07,-1.3,-4,707,2.9,1541,0
108,서울,2017-03-08,-.1,-5.3,508,5,1309,0
108,서울,2017-03-09,3.2,-2.7,409,10.7,1534,
108,서울,2017-03-10,4.8,-1.2,648,12.2,1518,
108,서울,2017-03-11,7.3,-.2,713,16.7,1508,
108,서울,2017-03-12,8.2,4.4,659,14,1433,0
108,서울,2017-03-13,6.9,1.5,710,12.2,1518,
108,서울,2017-03-14,5.8,1,701,10.9,1537,
108,서울,2017-03-15,6.3,.4,652,13.3,1502,
108,서울,2017-03-16,6.2,1,701,13.4,1559,
108,서울,2017-03-17,7.7,1.2,709,15.7,1602,
108,서울,2017-03-18,9.5,5.9,530,16.1,1305,
108,서울,2017-03-19,10.9,3.2,642,18.9,1424,
108,서울,2017-03-20,10.2,6,526,15.5,1503,
108,서울,2017-03-21,7.4,4.3,705,12.6,1727,
108,서울,2017-03-22,7.6,1.9,623,14.1,1519,
108,서울,2017-03-23,9.1,5.1,648,15,1420,
108,서울,2017-03-24,8.7,3.9,625,15.2,1520,
108,서울,2017-03-25,8.1,5,2359,12.6,1250,
108,서울,2017-03-26,7.3,4.8,610,11.6,1312,
108,서울,2017-03-27,6.1,4.4,649,10.9,1423,.4
108,서울,2017-03-28,7.1,2.5,447,12.7,1408,
108,서울,2017-03-29,8.8,4.7,452,14.4,1450,
108,서울,2017-03-30,10.6,4.1,638,17.1,1404,
108,서울,2017-03-31,8.6,4.9,2347,12.4,1036,1.5
108,서울,2017-04-01,9,4.8,7,15.1,1450,1
108,서울,2017-04-02,9,3.1,534,15.8,1512,
108,서울,2017-04-03,11.4,4.3,630,19.2,1514,
108,서울,2017-04-04,14.1,6.7,633,21.8,1413,
108,서울,2017-04-05,12,10.8,1635,14.2,1210,37.5
108,서울,2017-04-06,10.4,9.4,835,12.4,1,3
108,서울,2017-04-07,14.5,9,323,23.5,1539,
108,서울,2017-04-08,13,8.6,647,19.9,1546,.5
108,서울,2017-04-09,14.8,10.6,627,20.5,1434,.5
108,서울,2017-04-10,16.5,10.1,636,23.3,1609,
108,서울,2017-04-11,15.3,11.5,2357,20.2,1440,
108,서울,2017-04-12,11.5,8.8,2328,16.4,1433,
108,서울,2017-04-13,12.7,6.3,604,19.6,1539,0
108,서울,2017-04-14,13,10.1,559,17.7,1033,6
108,서울,2017-04-15,16.8,10.9,305,24.3,1436,
108,서울,2017-04-16,18.7,12.9,639,24.4,1417,
108,서울,2017-04-17,14.7,11.2,2356,18,1033,5.5
108,서울,2017-04-18,11.7,9.4,2347,17.4,1109,7.5
108,서울,2017-04-19,12.6,7,457,18.4,1506,
108,서울,2017-04-20,12.9,9.9,606,18.2,1403,.1
108,서울,2017-04-21,13.1,7.6,536,19.3,1326,
108,서울,2017-04-22,14.8,8.5,517,22.5,1509,
108,서울,2017-04-23,14.9,8.9,544,21.7,1521,
108,서울,2017-04-24,15.1,8.3,552,21.3,1308,
108,서울,2017-04-25,16,12.9,637,20.4,1242,
108,서울,2017-04-26,15.1,10.5,643,20.2,1410,
108,서울,2017-04-27,13.6,7.9,547,19.8,1429,
108,서울,2017-04-28,14.4,8.9,605,21.5,1317,
108,서울,2017-04-29,17.1,9.6,545,23.7,1503,
108,서울,2017-04-30,19.3,13.7,530,27.8,1416,
108,서울,2017-05-01,20.1,12.8,552,28.3,1525,
108,서울,2017-05-02,20.7,15.2,538,28,1435,
108,서울,2017-05-03,21.5,14.5,613,30.2,1455,
108,서울,2017-05-04,21,14.8,552,27.5,1416,
108,서울,2017-05-05,20.9,15.5,2400,27,1418,
108,서울,2017-05-06,14.9,10,601,19.3,1247,
108,서울,2017-05-07,16.6,10.9,534,22.8,1528,
108,서울,2017-05-08,17.9,11.1,536,23.5,1336,
108,서울,2017-05-09,17.1,15.3,510,22.6,1356,2.5
108,서울,2017-05-10,16.4,14.2,723,20.8,1645,2.5
108,서울,2017-05-11,19.3,13.1,411,24.8,1652,0
108,서울,2017-05-12,19.1,16.8,2358,21.1,1222,
108,서울,2017-05-13,16.4,12.4,2400,22.6,1155,6
108,서울,2017-05-14,15.7,11,604,20.7,1526,
108,서울,2017-05-15,16,12.3,401,20.1,1348,0
108,서울,2017-05-16,17.1,13.3,430,22.3,1515,
108,서울,2017-05-17,18.6,12.3,538,25.9,1506,
108,서울,2017-05-18,20.4,13.9,446,26.9,1533,
108,서울,2017-05-19,21.1,15.1,541,27.9,1444,
108,서울,2017-05-20,20.9,15.4,522,27.3,1314,
108,서울,2017-05-21,21.5,16,514,27.6,1453,
108,서울,2017-05-22,21.8,15.9,532,28,1432,
108,서울,2017-05-23,20,17.2,413,24.4,1140,5
108,서울,2017-05-24,21.8,16.9,614,27.8,1545,.1
108,서울,2017-05-25,19.2,14.4,2352,24.4,1357,
108,서울,2017-05-26,17.7,12.4,406,23.2,1633,
108,서울,2017-05-27,19.5,13.7,528,26.4,1424,
108,서울,2017-05-28,21.2,14.4,450,27.9,1508,
108,서울,2017-05-29,22.9,18.1,430,29.3,1434,
108,서울,2017-05-30,23.6,18.6,420,30.3,1440,
108,서울,2017-05-31,23.3,17.7,456,29.6,1622,
108,서울,2017-06-01,23.3,20,2357,27,1249,
108,서울,2017-06-02,20.5,15.5,530,25.6,1329,0
108,서울,2017-06-03,20.5,16.1,533,26.5,1614,
108,서울,2017-06-04,21.7,15.1,533,28.1,1541,
108,서울,2017-06-05,24.2,16.4,536,30.3,1655,0
108,서울,2017-06-06,19.4,14.5,2103,23.9,1341,15.5
108,서울,2017-06-07,17.6,15.1,1,19.2,1339,12.5
108,서울,2017-06-08,20.1,15.1,425,25.9,1412,
108,서울,2017-06-09,21.2,17.9,133,25.7,1412,.1
108,서울,2017-06-10,21.5,16.7,646,27.5,1609,4.5
108,서울,2017-06-11,22.8,14.8,553,29.6,1608,
108,서울,2017-06-12,22.1,17,531,28,1554,
108,서울,2017-06-13,21.5,18.3,458,25.9,1533,0
108,서울,2017-06-14,21.8,17.8,458,26.8,1458,
108,서울,2017-06-15,23.1,18,505,29.6,1503,
108,서울,2017-06-16,25.5,20,505,32.7,1448,
108,서울,2017-06-17,24.2,20.6,610,29.9,1551,
108,서울,2017-06-18,24.3,18.6,506,31.8,1442,
108,서울,2017-06-19,24.8,19.5,437,30.2,1526,
108,서울,2017-06-20,26,20,513,32.7,1340,0
108,서울,2017-06-21,25.4,21.7,2351,31.6,1404,0
108,서울,2017-06-22,25.3,21.2,137,30.4,1351,
108,서울,2017-06-23,26.7,21.3,543,34.1,1340,
108,서울,2017-06-24,24.5,21.5,2358,27.8,1139,3.5
108,서울,2017-06-25,23.8,21,443,28.4,1337,1.5
108,서울,2017-06-26,23.1,20.1,901,29.9,1508,29
108,서울,2017-06-27,25.2,20.8,412,30.5,1515,0
108,서울,2017-06-28,26,22.5,440,30.5,1554,
108,서울,2017-06-29,26.2,21.9,532,31.5,1522,
108,서울,2017-06-30,25.9,22.2,451,30.9,1445,
108,서울,2017-07-01,25.3,22.4,558,30.7,1448,.5
108,서울,2017-07-02,24.3,21.9,2358,26.8,1332,92
108,서울,2017-07-03,24.7,21.9,5,27.4,1332,67.5
108,서울,2017-07-04,26.7,23.8,552,31.6,1436,.5
108,서울,2017-07-05,27.4,23.3,415,32.6,1708,
108,서울,2017-07-06,27.6,23.9,532,34.6,1519,34
108,서울,2017-07-07,26.4,24.4,524,28.4,1415,16.5
108,서울,2017-07-08,26,24.6,851,27.6,1432,4.5
108,서울,2017-07-09,26.3,23.8,2359,30.3,1436,32.5
108,서울,2017-07-10,24,22.6,2223,25.4,1000,144.5
108,서울,2017-07-11,26,22.2,436,30.9,1530,1
108,서울,2017-07-12,27.1,24.9,2358,31.1,1609,0
108,서울,2017-07-13,27.6,23.1,531,32.1,1446,
108,서울,2017-07-14,28.7,26.1,556,33,1409,0
108,서울,2017-07-15,25,23.4,523,27.3,1,42.5
108,서울,2017-07-16,26.2,23.4,446,28.8,1439,22.5
108,서울,2017-07-17,26.8,24,2340,29,1146,7.5
108,서울,2017-07-18,26.5,23.9,28,30.7,1644,2.5
108,서울,2017-07-19,28.3,24.5,604,34.1,1522,
108,서울,2017-07-20,29.9,26,437,34.9,1456,
108,서울,2017-07-21,29.8,27.3,534,32.4,1643,
108,서울,2017-07-22,29.3,27.5,831,32.5,1534,.5
108,서울,2017-07-23,27,26.1,1016,28.1,1,133.5
108,서울,2017-07-24,26.2,25.6,430,27.3,1052,3
108,서울,2017-07-25,29.4,24.6,538,35.4,1604,
108,서울,2017-07-26,28.7,24.2,539,32.8,1557,
108,서울,2017-07-27,27.1,24.9,620,29.7,1501,3.5
108,서울,2017-07-28,25.5,24.8,456,26.9,1734,8.5
108,서울,2017-07-29,27.2,25,107,30.1,1616,0
108,서울,2017-07-30,27.9,24.7,449,32.6,1541,
108,서울,2017-07-31,25.7,24.8,2359,27.1,1,3.5
108,서울,2017-08-01,28.6,24.1,617,33,1428,2
108,서울,2017-08-02,30,26.6,531,33,1619,
108,서울,2017-08-03,30.2,27.2,610,33.9,1518,
108,서울,2017-08-04,30.3,25.9,600,35.3,1639,
108,서울,2017-08-05,31.4,27.6,555,34.8,1622,0
108,서울,2017-08-06,29.8,28.2,1051,34,1639,5
108,서울,2017-08-07,29.2,26.4,444,34.4,1523,
108,서울,2017-08-08,28.2,25.5,620,31,1753,
108,서울,2017-08-09,27.6,24.6,2359,32,1545,2.5
108,서울,2017-08-10,24.8,23.9,510,26.3,1517,5.5
108,서울,2017-08-11,27,23.9,248,32.4,1608,.5
108,서울,2017-08-12,27.8,23.2,545,32.6,1346,
108,서울,2017-08-13,26.3,24.2,733,28.4,1400,0
108,서울,2017-08-14,24.6,23.1,1945,27.1,1212,1.5
108,서울,2017-08-15,21.9,20.8,2236,24,12,93.5
108,서울,2017-08-16,23.3,20.5,455,26.8,1426,2
108,서울,2017-08-17,24.8,21.2,341,27.7,1449,.5
108,서울,2017-08-18,26.3,23.9,535,30.6,1620,0
108,서울,2017-08-19,26.1,23.1,609,28.7,1359,0
108,서울,2017-08-20,23.2,22,726,25.8,1,124.5
108,서울,2017-08-21,25.8,23.7,1,29.2,1627,5
108,서울,2017-08-22,27.3,23.4,610,31.5,1634,
108,서울,2017-08-23,27.2,24.6,617,30.2,1459,31.5
108,서울,2017-08-24,26.5,23.9,2400,28.1,1206,14
108,서울,2017-08-25,25.3,22.2,604,30.6,1616,
108,서울,2017-08-26,24.2,19,547,29.2,1548,
108,서울,2017-08-27,22.7,19,520,26.7,1509,0
108,서울,2017-08-28,21.5,18.3,2352,26.5,1143,9
108,서울,2017-08-29,19.5,17,2341,24,1607,
108,서울,2017-08-30,19.8,16.1,554,23.9,1715,
108,서울,2017-08-31,22.2,16.6,601,27.6,1519,
108,서울,2017-09-01,23.3,17.1,626,29.7,1608,
108,서울,2017-09-02,23.8,18.6,606,29.6,1432,
108,서울,2017-09-03,23.7,19,603,29.2,1613,
108,서울,2017-09-04,24.6,19.7,527,30.1,1433,
108,서울,2017-09-05,21.9,20.4,530,23.7,1329,0
108,서울,2017-09-06,20.6,18.5,2338,24,1135,2
108,서울,2017-09-07,22.4,17.8,354,27.5,1509,
108,서울,2017-09-08,24.3,20.4,507,29.9,1541,
108,서울,2017-09-09,23.8,19.2,622,28.2,1447,
108,서울,2017-09-10,23,19.9,546,26.1,1441,.5
108,서울,2017-09-11,21.2,18.6,654,24.6,1647,24
108,서울,2017-09-12,22.1,17.7,608,27.9,1449,
108,서울,2017-09-13,21.4,15.9,629,27.5,1526,
108,서울,2017-09-14,22.4,14.8,642,29.5,1413,
108,서울,2017-09-15,22.6,17.8,613,27.9,1534,
108,서울,2017-09-16,22,16.7,623,27.6,1449,
108,서울,2017-09-17,23.1,19,457,29.2,1458,
108,서울,2017-09-18,21.9,16.4,637,27.6,1424,
108,서울,2017-09-19,22.6,20.1,224,25.8,1442,8
108,서울,2017-09-20,19.5,14.1,630,24.9,1501,
108,서울,2017-09-21,20.3,14.2,618,27,1527,
108,서울,2017-09-22,20.6,15.4,533,26.8,1336,
108,서울,2017-09-23,21.8,17.6,227,27.3,1423,0
108,서울,2017-09-24,22.4,18.8,244,27.9,1403,0
108,서울,2017-09-25,23.4,17.4,625,30.1,1422,
108,서울,2017-09-26,25.1,19.4,627,31.4,1447,0
108,서울,2017-09-27,22.7,19.9,2355,27.3,1505,.5
108,서울,2017-09-28,19.2,14.2,2349,25.3,1331,
108,서울,2017-09-29,17.4,11.2,625,23.5,1334,
108,서울,2017-09-30,20,14.7,637,25.9,1445,
108,서울,2017-10-01,18.2,15.5,2256,21.2,1203,4
108,서울,2017-10-02,22,15.6,1,29.4,1510,1.5
108,서울,2017-10-03,17.6,13.4,656,23.6,1411,
108,서울,2017-10-04,16.7,10.7,607,24.3,1402,
108,서울,2017-10-05,18.7,13.9,531,23.4,1307,
108,서울,2017-10-06,18.9,16.2,435,23.3,1103,.5
108,서울,2017-10-07,21.9,16.9,618,28.8,1528,0
108,서울,2017-10-08,23,19.3,648,28.7,1328,
108,서울,2017-10-09,22.5,19.8,2344,27.6,1533,0
108,서울,2017-10-10,21.4,18.6,415,24.8,1347,.4
108,서울,2017-10-11,15.5,12.2,2347,21.7,1,20
108,서울,2017-10-12,11.4,8.8,2351,,,
108,서울,2017-10-13,12.8,6.1,629,18.9,1420,
108,서울,2017-10-14,14.4,9,649,20.5,1320,
108,서울,2017-10-15,15.8,9,625,23,1448,
108,서울,2017-10-16,16.6,13.6,2351,22,1439,
108,서울,2017-10-17,16.2,9.2,634,23.9,1445,
108,서울,2017-10-18,16.5,14.2,1,19.1,1147,.1
108,서울,2017-10-19,17,11.9,708,23.2,1328,
108,서울,2017-10-20,17,11.1,645,24.2,1508,
108,서울,2017-10-21,17.6,11,714,25.2,1418,
108,서울,2017-10-22,16.3,11,644,23.5,1218,
108,서울,2017-10-23,13.7,8.6,645,20.6,1424,
108,서울,2017-10-24,14.4,9.9,338,20.9,1313,
108,서울,2017-10-25,14.4,9.5,651,20.6,1455,
108,서울,2017-10-26,14.5,10.7,444,18.1,1355,
108,서울,2017-10-27,16.9,11.9,728,24.2,1454,
108,서울,2017-10-28,17.2,10.6,642,24.8,1354,
108,서울,2017-10-29,11.5,6.3,2350,17.2,1224,
108,서울,2017-10-30,7.7,2.5,731,13.2,1534,
108,서울,2017-10-31,10.4,3.6,634,16,1524,
108,서울,2017-11-01,14.4,11.5,21,18.1,1451,
108,서울,2017-11-02,15.5,14,121,18,1215,1
108,서울,2017-11-03,12.3,6.1,2359,16.6,1358,1.5
108,서울,2017-11-04,7.8,4.5,735,13.7,1342,
108,서울,2017-11-05,8.4,2.6,719,15.4,1516,
108,서울,2017-11-06,11.4,8,1,16.5,1357,
108,서울,2017-11-07,14.4,9.2,26,18.4,1438,0
108,서울,2017-11-08,13.1,6.9,2340,17.2,1303,0
108,서울,2017-11-09,9.4,3.7,743,16.8,1449,
108,서울,2017-11-10,9.8,5.3,2349,15.9,1156,7.5
108,서울,2017-11-11,5.9,2.7,802,10.7,1513,
108,서울,2017-11-12,5.3,.3,719,11.4,1536,
108,서울,2017-11-13,8.4,3.1,229,11.8,1906,4.5
108,서울,2017-11-14,7.5,2.9,2352,11.4,1233,
108,서울,2017-11-15,3.2,-1.1,2357,6.5,1149,
108,서울,2017-11-16,1,-3.4,726,6.4,1441,
108,서울,2017-11-17,3,-1.6,321,5.8,1508,0
108,서울,2017-11-18,-2.1,-4.8,2320,2.6,1,
108,서울,2017-11-19,-1.6,-6.6,642,3.5,1505,
108,서울,2017-11-20,-.4,-3.9,737,4.2,1143,0
108,서울,2017-11-21,1.3,-4.2,654,8.1,1515,
108,서울,2017-11-22,4.3,.6,2337,10.8,1358,.5
108,서울,2017-11-23,.9,-2.5,545,4.7,1523,1.2
108,서울,2017-11-24,-.4,-2.5,2253,2.9,1413,0
108,서울,2017-11-25,3,-3.3,316,7.3,2134,24
108,서울,2017-11-26,3.3,-.3,2357,7.6,1418,
108,서울,2017-11-27,2.5,-2.9,736,9.5,1539,
108,서울,2017-11-28,6.4,1.3,708,11.2,1311,.5
108,서울,2017-11-29,3.2,-1.8,2359,8.1,34,0
108,서울,2017-11-30,-2.4,-5.2,2351,2.7,1413,
108,서울,2017-12-01,-2.2,-7.6,735,3.1,1402,0
108,서울,2017-12-02,1.9,-4.6,629,8.1,1440,
108,서울,2017-12-03,4.9,3.1,620,8.1,1513,4
108,서울,2017-12-04,-1.2,-6.1,2340,4.5,126,.1
108,서울,2017-12-05,-4.2,-8.2,808,-.4,1422,.1
108,서울,2017-12-06,.2,-4.5,723,6,1410,1.2
108,서울,2017-12-07,.7,-3.5,2350,4.6,1355,
108,서울,2017-12-08,-3.8,-7.1,806,-.5,1532,
108,서울,2017-12-09,-.5,-5.6,710,5.4,1522,
108,서울,2017-12-10,1.1,-2.5,2359,6.7,1441,4.1
108,서울,2017-12-11,-7,-11,2330,-2.5,1,
108,서울,2017-12-12,-9.4,-12.3,750,-5.2,1406,
108,서울,2017-12-13,-8.7,-12,602,-4.4,1404,
108,서울,2017-12-14,-6.6,-11.2,416,-1.9,1526,
108,서울,2017-12-15,-3,-7.5,445,.9,1946,0
108,서울,2017-12-16,-5.7,-8.1,2356,-2.6,1,
108,서울,2017-12-17,-6.7,-10.8,825,-2.3,1529,
108,서울,2017-12-18,-1.6,-5.9,1,3.3,1959,3.4
108,서울,2017-12-19,-3.9,-6.5,2359,-1,1,
108,서울,2017-12-20,-3.9,-8.5,356,-.1,1452,.2
108,서울,2017-12-21,-.9,-5.6,735,4.6,1536,
108,서울,2017-12-22,3.4,-1.9,20,6.6,1510,
108,서울,2017-12-23,6.1,5,445,8.7,1404,
108,서울,2017-12-24,2.9,-.6,2400,5.7,5,20
108,서울,2017-12-25,-2.1,-4.9,749,.6,1502,
108,서울,2017-12-26,-3.8,-7.9,2356,-1.1,1157,
108,서울,2017-12-27,-6.9,-10.3,826,-2.6,1517,
108,서울,2017-12-28,-2.1,-6.8,222,.8,1248,0
108,서울,2017-12-29,2.1,-.4,2347,6,1423,0
108,서울,2017-12-30,1.4,-1.2,330,4.5,1415,.7
108,서울,2017-12-31,-.3,-3.2,2356,3.3,1426,1
108,서울,2018-01-01,-1.3,-5.1,739,3.8,1538,
108,서울,2018-01-02,-1.8,-4.3,2348,1.8,1345,
108,서울,2018-01-03,-4.7,-7.1,804,-.4,1550,
108,서울,2018-01-04,-4.7,-8.7,751,-.7,1519,
108,서울,2018-01-05,-3,-5.6,306,1.6,1530,
108,서울,2018-01-06,-2.8,-6.8,628,2.9,1539,
108,서울,2018-01-07,-.8,-5.7,524,2.8,1501,
108,서울,2018-01-08,1.3,-1.2,2352,4,1507,.9
108,서울,2018-01-09,-4.2,-6.1,837,-1.2,1,.5
108,서울,2018-01-10,-7.5,-10.3,2335,-4.8,1412,.3
108,서울,2018-01-11,-11.1,-13.6,2344,-7.4,1358,
108,서울,2018-01-12,-10.2,-15.3,811,-5.4,1543,0
108,서울,2018-01-13,-4.4,-6.6,241,-1.2,1540,.4
108,서울,2018-01-14,.6,-4.4,1,5.4,1601,
108,서울,2018-01-15,4.7,1.8,2359,7.7,1548,.2
108,서울,2018-01-16,3.5,.1,240,6.8,1324,0
108,서울,2018-01-17,4.5,2.4,703,8.7,1217,
108,서울,2018-01-18,2.1,.3,2349,4.5,1446,0
108,서울,2018-01-19,1,-2.5,756,5.5,1501,
108,서울,2018-01-20,2.2,-1,137,6.9,1544,
108,서울,2018-01-21,.4,-3.7,757,5.5,1404,
108,서울,2018-01-22,.2,-5.3,2358,4,1303,3.3
108,서울,2018-01-23,-11.7,-14.6,2352,-5.3,1,
108,서울,2018-01-24,-14.2,-16.3,746,-10.7,1422,
108,서울,2018-01-25,-14,-16.4,720,-9.5,1517,
108,서울,2018-01-26,-14.8,-17.8,733,-10.7,1603,
108,서울,2018-01-27,-9.9,-15.9,738,-3.5,1550,
108,서울,2018-01-28,-6.3,-9.3,2358,-1.2,1408,
108,서울,2018-01-29,-8.5,-11.6,809,-4.7,1510,
108,서울,2018-01-30,-5.3,-11.4,631,-.8,1419,2.9
108,서울,2018-01-31,-2.6,-5.2,2354,0,1610,0
108,서울,2018-02-01,-4,-8.8,644,1.2,1601,
108,서울,2018-02-02,-2.4,-7.6,723,3.8,1440,
108,서울,2018-02-03,-7.3,-10.4,2347,-2.1,17,.5
108,서울,2018-02-04,-9.5,-12.8,753,-5.2,1607,
108,서울,2018-02-05,-9.4,-11.8,404,-5.1,1609,
108,서울,2018-02-06,-10.1,-12.8,745,-5.8,1516,
108,서울,2018-02-07,-8,-13.4,650,-1.6,1547,
108,서울,2018-02-08,-4.4,-9.7,722,2,1548,
108,서울,2018-02-09,.4,-5.3,227,6.1,1549,
108,서울,2018-02-10,-.5,-6.9,2327,3.2,1131,
108,서울,2018-02-11,-6.1,-9.5,722,-2.2,1350,0
108,서울,2018-02-12,-5.8,-9.6,538,-1.8,1422,0
108,서울,2018-02-13,-.8,-7.4,715,4.3,1521,
108,서울,2018-02-14,3.5,-.7,2352,8.7,1459,
108,서울,2018-02-15,-.7,-3.7,850,4,1448,
108,서울,2018-02-16,-1.1,-5.5,741,4.9,1419,
108,서울,2018-02-17,-3,-7.1,734,1.4,1601,
108,서울,2018-02-18,-.4,-4.9,729,5.2,1450,
108,서울,2018-02-19,1.8,-1.9,347,6.8,1526,
108,서울,2018-02-20,.9,-2.4,646,5.5,1445,
108,서울,2018-02-21,-.9,-4.5,814,4.4,1503,
108,서울,2018-02-22,1.3,-3.9,725,5.4,1212,.4
108,서울,2018-02-23,4.2,-.3,730,8.6,1431,3.7
108,서울,2018-02-24,2.4,-1.1,2359,7.2,1446,
108,서울,2018-02-25,1.9,-1.6,213,7.9,1515,
108,서울,2018-02-26,3.1,-3.2,714,10.4,1516,
108,서울,2018-02-27,4.2,.6,450,6.9,1554,
108,서울,2018-02-28,4.6,1.8,2246,7.8,1230,25
108,서울,2018-03-01,-.2,-4.3,2341,3,547,.5
108,서울,2018-03-02,-.7,-6.7,625,5.4,1608,
108,서울,2018-03-03,7.9,-.1,725,16.2,1515,0
108,서울,2018-03-04,9.8,7.6,2359,11.9,1627,11.5
108,서울,2018-03-05,5.5,1.3,2353,11.4,1622,3.5
108,서울,2018-03-06,4.5,-1.1,625,10.9,1546,
108,서울,2018-03-07,6.4,2.2,650,10.7,1614,.5
108,서울,2018-03-08,4.6,2.7,2216,9.7,1558,4
108,서울,2018-03-09,4.5,1.4,720,9.6,1600,
108,서울,2018-03-10,4.6,.7,708,9.7,1406,
108,서울,2018-03-11,6.4,2.7,731,12.2,1537,
108,서울,2018-03-12,8,2.2,248,15.5,1455,
108,서울,2018-03-13,12.4,5.2,224,18.8,1423,
108,서울,2018-03-14,17,13.6,1,22.1,1505,
108,서울,2018-03-15,12.4,8.4,2356,16.6,247,27
108,서울,2018-03-16,7.1,3.6,710,12.2,1520,
108,서울,2018-03-17,6.6,.5,657,14,1543,
108,서울,2018-03-18,8.2,5.4,301,12.5,1542,.5
108,서울,2018-03-19,8,6.2,419,10.4,1117,1
108,서울,2018-03-20,4.7,1.6,2335,9.1,1158,
108,서울,2018-03-21,2.1,1.1,2033,5.3,1120,1
108,서울,2018-03-22,4.9,.6,637,11.6,1410,
108,서울,2018-03-23,6.1,1.8,239,12.5,1407,
108,서울,2018-03-24,7.6,4,640,13.1,1416,
108,서울,2018-03-25,9.6,4.6,555,16.9,1447,
108,서울,2018-03-26,11,5.3,224,18.1,1453,
108,서울,2018-03-27,13.3,7.7,411,20,1549,
108,서울,2018-03-28,14,9.4,612,19,1419,
108,서울,2018-03-29,15.4,11.8,2358,21.1,1451,
108,서울,2018-03-30,14.8,9.8,347,21.9,1457,
108,서울,2018-03-31,14,9.3,608,20.1,1358,
108,서울,2018-04-01,15.6,11.7,45,18.5,1548,
108,서울,2018-04-02,18.4,14.9,548,23.7,1459,
108,서울,2018-04-03,17.8,14.9,2302,21.2,1409,.1
108,서울,2018-04-04,13.4,9.5,2356,18.2,1430,18.5
108,서울,2018-04-05,7.6,6.7,751,9.5,1,10.5
108,서울,2018-04-06,5.8,3,2400,8.6,1022,6.5
108,서울,2018-04-07,4.2,1.4,224,8.6,1341,.2
108,서울,2018-04-08,3.9,.6,638,7.9,1353,3
108,서울,2018-04-09,7.9,.1,555,15.4,1616,
108,서울,2018-04-10,15.1,6.9,511,21.9,1245,5
108,서울,2018-04-11,12.6,8.7,648,17.3,1526,
108,서울,2018-04-12,13.3,6.8,539,19.6,1535,
108,서울,2018-04-13,14.6,8.3,556,19.3,1230,
108,서울,2018-04-14,9,7.5,826,14.8,1,9
108,서울,2018-04-15,9.5,5.6,519,14.2,1424,
108,서울,2018-04-16,11.6,4.9,623,18.8,1543,
108,서울,2018-04-17,12.9,6.8,612,20.1,1424,
108,서울,2018-04-18,12.4,6.2,540,19.3,1441,
108,서울,2018-04-19,14,7.4,608,20.5,1359,
108,서울,2018-04-20,18.4,11,627,26.3,1430,
108,서울,2018-04-21,18.7,12.3,559,25.6,1341,
108,서울,2018-04-22,15.5,10.7,2400,21,1417,15.5
108,서울,2018-04-23,9.3,8.4,858,10.7,1,59
